,fpr,tpr,threshold,eval,k,train_split,quantile
275,0.48,0.875,0.90093863,4,2,0.1,0.25
276,0.6,0.875,0.72458404,4,2,0.1,0.25
277,0.6,1.0,0.6679826,4,2,0.1,0.25
278,1.0,1.0,0.0011033576,4,2,0.1,0.25
279,0.0,0.0,1.9994034,5,2,0.1,0.25
280,0.0,0.125,0.99940336,5,2,0.1,0.25
281,0.16,0.125,0.9895152,5,2,0.1,0.25
282,0.16,0.25,0.98910576,5,2,0.1,0.25
283,0.2,0.25,0.9861632,5,2,0.1,0.25
284,0.2,0.375,0.9843389,5,2,0.1,0.25
285,0.28,0.375,0.9718341,5,2,0.1,0.25
286,0.28,0.625,0.9672812,5,2,0.1,0.25
287,0.4,0.625,0.9527895,5,2,0.1,0.25
288,0.4,0.75,0.9479252,5,2,0.1,0.25
289,0.52,0.75,0.88155115,5,2,0.1,0.25
290,0.52,0.875,0.86054355,5,2,0.1,0.25
291,0.68,0.875,0.70612687,5,2,0.1,0.25
292,0.68,1.0,0.6237999,5,2,0.1,0.25
293,1.0,1.0,0.00063444045,5,2,0.1,0.25
294,0.0,0.0,1.9977447,1,3,0.1,0.05
295,0.03125,0.0,0.9977447,1,3,0.1,0.05
296,0.0625,0.0,0.99666816,1,3,0.1,0.05
297,0.0625,1.0,0.9761922,1,3,0.1,0.05
298,1.0,1.0,0.006404532,1,3,0.1,0.05
