,eval,k,train_split,quantile,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
35,1,3,0.1,0.1,0.9545454545454546,0.7,0.8076923076923077,30,0.18181818181818182,0.6666666666666666,0.28571428571428575,3,0.5681818181818182,0.6833333333333333,0.5467032967032968,33,0.8842975206611571,0.696969696969697,0.7602397602397603,33,0.696969696969697
36,2,3,0.1,0.1,0.9583333333333334,0.7666666666666667,0.8518518518518519,30,0.2222222222222222,0.6666666666666666,0.3333333333333333,3,0.5902777777777778,0.7166666666666667,0.5925925925925926,33,0.8914141414141414,0.7575757575757576,0.8047138047138047,33,0.7575757575757576
37,3,3,0.1,0.1,0.9565217391304348,0.7333333333333333,0.8301886792452831,30,0.2,0.6666666666666666,0.30769230769230765,3,0.5782608695652174,0.7,0.5689404934687954,33,0.8877470355731225,0.7272727272727273,0.7826890091041034,33,0.7272727272727273
38,4,3,0.1,0.1,0.9583333333333334,0.7666666666666667,0.8518518518518519,30,0.2222222222222222,0.6666666666666666,0.3333333333333333,3,0.5902777777777778,0.7166666666666667,0.5925925925925926,33,0.8914141414141414,0.7575757575757576,0.8047138047138047,33,0.7575757575757576
39,5,3,0.1,0.1,0.9565217391304348,0.7333333333333333,0.8301886792452831,30,0.2,0.6666666666666666,0.30769230769230765,3,0.5782608695652174,0.7,0.5689404934687954,33,0.8877470355731225,0.7272727272727273,0.7826890091041034,33,0.7272727272727273
40,1,3,0.1,0.25,0.9230769230769231,0.48,0.631578947368421,25,0.35,0.875,0.4999999999999999,8,0.6365384615384615,0.6775,0.5657894736842104,33,0.7841491841491841,0.5757575757575758,0.5996810207336523,33,0.5757575757575758
41,2,3,0.1,0.25,0.9230769230769231,0.48,0.631578947368421,25,0.35,0.875,0.4999999999999999,8,0.6365384615384615,0.6775,0.5657894736842104,33,0.7841491841491841,0.5757575757575758,0.5996810207336523,33,0.5757575757575758
42,3,3,0.1,0.25,0.875,0.56,0.6829268292682927,25,0.35294117647058826,0.75,0.48,8,0.6139705882352942,0.655,0.5814634146341464,33,0.7484402852049911,0.6060606060606061,0.6337324464153733,33,0.6060606060606061
43,4,3,0.1,0.25,0.875,0.56,0.6829268292682927,25,0.35294117647058826,0.75,0.48,8,0.6139705882352942,0.655,0.5814634146341464,33,0.7484402852049911,0.6060606060606061,0.6337324464153733,33,0.6060606060606061
44,5,3,0.1,0.25,0.8823529411764706,0.6,0.7142857142857143,25,0.375,0.75,0.5,8,0.6286764705882353,0.675,0.6071428571428572,33,0.7593582887700535,0.6363636363636364,0.6623376623376623,33,0.6363636363636364
45,1,4,0.1,0.05,1.0,0.1875,0.3157894736842105,32,0.037037037037037035,1.0,0.07142857142857142,1,0.5185185185185185,0.59375,0.19360902255639095,33,0.9708193041526375,0.21212121212121213,0.30838459785828204,33,0.21212121212121213
46,2,4,0.1,0.05,1.0,0.1875,0.3157894736842105,32,0.037037037037037035,1.0,0.07142857142857142,1,0.5185185185185185,0.59375,0.19360902255639095,33,0.9708193041526375,0.21212121212121213,0.30838459785828204,33,0.21212121212121213
47,3,4,0.1,0.05,1.0,0.21875,0.358974358974359,32,0.038461538461538464,1.0,0.07407407407407407,1,0.5192307692307693,0.609375,0.21652421652421652,33,0.9708624708624709,0.24242424242424243,0.35034101700768366,33,0.24242424242424243
48,4,4,0.1,0.05,1.0,0.1875,0.3157894736842105,32,0.037037037037037035,1.0,0.07142857142857142,1,0.5185185185185185,0.59375,0.19360902255639095,33,0.9708193041526375,0.21212121212121213,0.30838459785828204,33,0.21212121212121213
49,5,4,0.1,0.05,1.0,0.1875,0.3157894736842105,32,0.037037037037037035,1.0,0.07142857142857142,1,0.5185185185185185,0.59375,0.19360902255639095,33,0.9708193041526375,0.21212121212121213,0.30838459785828204,33,0.21212121212121213
50,1,4,0.1,0.1,0.9166666666666666,0.36666666666666664,0.5238095238095238,30,0.09523809523809523,0.6666666666666666,0.16666666666666666,3,0.5059523809523809,0.5166666666666666,0.34523809523809523,33,0.841991341991342,0.3939393939393939,0.49134199134199136,33,0.3939393939393939
51,2,4,0.1,0.1,0.9090909090909091,0.3333333333333333,0.4878048780487804,30,0.09090909090909091,0.6666666666666666,0.16,3,0.5,0.5,0.3239024390243902,33,0.8347107438016529,0.36363636363636365,0.45800443458980045,33,0.36363636363636365
52,3,4,0.1,0.1,0.8666666666666667,0.43333333333333335,0.5777777777777778,30,0.05555555555555555,0.3333333333333333,0.09523809523809525,3,0.46111111111111114,0.3833333333333333,0.33650793650793653,33,0.7929292929292929,0.42424242424242425,0.533910533910534,33,0.42424242424242425
53,4,4,0.1,0.1,0.8666666666666667,0.43333333333333335,0.5777777777777778,30,0.05555555555555555,0.3333333333333333,0.09523809523809525,3,0.46111111111111114,0.3833333333333333,0.33650793650793653,33,0.7929292929292929,0.42424242424242425,0.533910533910534,33,0.42424242424242425
54,5,4,0.1,0.1,0.9090909090909091,0.3333333333333333,0.4878048780487804,30,0.09090909090909091,0.6666666666666666,0.16,3,0.5,0.5,0.3239024390243902,33,0.8347107438016529,0.36363636363636365,0.45800443458980045,33,0.36363636363636365
55,1,4,0.1,0.25,1.0,0.16,0.2758620689655173,25,0.27586206896551724,1.0,0.4324324324324324,8,0.6379310344827587,0.58,0.35414725069897485,33,0.8244514106583072,0.36363636363636365,0.3138185207150725,33,0.36363636363636365
56,2,4,0.1,0.25,1.0,0.16,0.2758620689655173,25,0.27586206896551724,1.0,0.4324324324324324,8,0.6379310344827587,0.58,0.35414725069897485,33,0.8244514106583072,0.36363636363636365,0.3138185207150725,33,0.36363636363636365
57,3,4,0.1,0.25,1.0,0.16,0.2758620689655173,25,0.27586206896551724,1.0,0.4324324324324324,8,0.6379310344827587,0.58,0.35414725069897485,33,0.8244514106583072,0.36363636363636365,0.3138185207150725,33,0.36363636363636365
58,4,4,0.1,0.25,1.0,0.16,0.2758620689655173,25,0.27586206896551724,1.0,0.4324324324324324,8,0.6379310344827587,0.58,0.35414725069897485,33,0.8244514106583072,0.36363636363636365,0.3138185207150725,33,0.36363636363636365
59,5,4,0.1,0.25,1.0,0.16,0.2758620689655173,25,0.27586206896551724,1.0,0.4324324324324324,8,0.6379310344827587,0.58,0.35414725069897485,33,0.8244514106583072,0.36363636363636365,0.3138185207150725,33,0.36363636363636365
