,tol_inf,tol_sup,train_split,channels,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
694,0.2,0.7,0.2,32,1.0,0.0967741935483871,0.17647058823529413,62,0.15151515151515152,1.0,0.2631578947368421,10,0.5757575757575758,0.5483870967741935,0.2198142414860681,72,0.8821548821548821,0.2222222222222222,0.18851049191606467,72,0.2222222222222222
695,0.2,0.7,0.2,32,0.9772727272727273,0.6935483870967742,0.8113207547169812,62,0.32142857142857145,0.9,0.4736842105263158,10,0.6493506493506493,0.7967741935483872,0.6425024826216486,72,0.8861832611832612,0.7222222222222222,0.7644267902460554,72,0.7222222222222222
696,0.2,0.7,0.2,32,1.0,0.5806451612903226,0.7346938775510204,62,0.2777777777777778,1.0,0.4347826086956522,10,0.6388888888888888,0.7903225806451613,0.5847382431233363,72,0.8996913580246912,0.6388888888888888,0.6930395346544416,72,0.6388888888888888
697,0.2,0.7,0.2,32,1.0,0.7580645161290323,0.8623853211009175,62,0.4,1.0,0.5714285714285715,10,0.7,0.8790322580645161,0.7169069462647445,72,0.9166666666666666,0.7916666666666666,0.8219746614242028,72,0.7916666666666666
698,0.2,0.7,0.2,32,1.0,0.7419354838709677,0.8518518518518519,62,0.38461538461538464,1.0,0.5555555555555556,10,0.6923076923076923,0.8709677419354839,0.7037037037037037,72,0.9145299145299144,0.7777777777777778,0.8106995884773663,72,0.7777777777777778
699,0.2,0.7,0.2,32,0.9285714285714286,0.20967741935483872,0.34210526315789475,62,0.15517241379310345,0.9,0.2647058823529411,10,0.541871921182266,0.5548387096774193,0.3034055727554179,72,0.8211548987411057,0.3055555555555556,0.33135534915720677,72,0.3055555555555556
700,0.2,0.7,0.2,64,0.9814814814814815,0.8548387096774194,0.9137931034482759,62,0.5,0.9,0.6428571428571429,10,0.7407407407407407,0.8774193548387097,0.7783251231527094,72,0.9146090534979423,0.8611111111111112,0.8761631089217297,72,0.8611111111111112
701,0.2,0.7,0.2,64,1.0,0.06451612903225806,0.12121212121212122,62,0.14705882352941177,1.0,0.25641025641025644,10,0.5735294117647058,0.532258064516129,0.18881118881118883,72,0.8815359477124183,0.19444444444444445,0.13998963998963998,72,0.19444444444444445
702,0.2,0.7,0.2,64,0.9473684210526315,0.8709677419354839,0.9075630252100839,62,0.4666666666666667,0.7,0.56,10,0.7070175438596491,0.7854838709677419,0.733781512605042,72,0.8806042884990253,0.8472222222222222,0.8592903828197945,72,0.8472222222222222
703,0.2,0.7,0.2,64,1.0,0.6774193548387096,0.8076923076923077,62,0.3333333333333333,1.0,0.5,10,0.6666666666666666,0.8387096774193548,0.6538461538461539,72,0.9074074074074073,0.7222222222222222,0.764957264957265,72,0.7222222222222222
704,0.2,0.7,0.2,64,0.9242424242424242,0.9838709677419355,0.9531249999999999,62,0.8333333333333334,0.5,0.625,10,0.8787878787878788,0.7419354838709677,0.7890625,72,0.9116161616161614,0.9166666666666666,0.9075520833333334,72,0.9166666666666666
705,0.2,0.7,0.2,64,0.9642857142857143,0.8709677419354839,0.9152542372881356,62,0.5,0.8,0.6153846153846154,10,0.7321428571428572,0.8354838709677419,0.7653194263363755,72,0.8998015873015872,0.8611111111111112,0.8736056786904245,72,0.8611111111111112
706,0.2,0.7,0.2,64,0.9583333333333334,0.7419354838709677,0.8363636363636364,62,0.3333333333333333,0.8,0.47058823529411764,10,0.6458333333333334,0.7709677419354839,0.6534759358288771,72,0.8715277777777779,0.75,0.7855614973262033,72,0.75
707,0.2,0.7,0.2,64,0.9473684210526315,0.8709677419354839,0.9075630252100839,62,0.4666666666666667,0.7,0.56,10,0.7070175438596491,0.7854838709677419,0.733781512605042,72,0.8806042884990253,0.8472222222222222,0.8592903828197945,72,0.8472222222222222
708,0.2,0.7,0.2,64,0.9454545454545454,0.8387096774193549,0.8888888888888888,62,0.4117647058823529,0.7,0.5185185185185185,10,0.6786096256684492,0.7693548387096774,0.7037037037037037,72,0.8713309566250742,0.8194444444444444,0.8374485596707818,72,0.8194444444444444
709,0.2,0.7,0.2,64,1.0,0.6290322580645161,0.7722772277227723,62,0.30303030303030304,1.0,0.4651162790697675,10,0.6515151515151515,0.814516129032258,0.61869675339627,72,0.9031986531986532,0.6805555555555556,0.7296159848542995,72,0.6805555555555556
710,0.2,0.7,0.2,64,0.9230769230769231,0.967741935483871,0.9448818897637796,62,0.7142857142857143,0.5,0.588235294117647,10,0.8186813186813187,0.7338709677419355,0.7665585919407133,72,0.8940781440781441,0.9027777777777778,0.8953476403684834,72,0.9027777777777778
711,0.2,0.7,0.2,64,0.9523809523809523,0.6451612903225806,0.7692307692307692,62,0.26666666666666666,0.8,0.4,10,0.6095238095238095,0.7225806451612904,0.5846153846153845,72,0.8571428571428571,0.6666666666666666,0.7179487179487178,72,0.6666666666666666
712,0.2,0.7,0.2,64,1.0,0.6774193548387096,0.8076923076923077,62,0.3333333333333333,1.0,0.5,10,0.6666666666666666,0.8387096774193548,0.6538461538461539,72,0.9074074074074073,0.7222222222222222,0.764957264957265,72,0.7222222222222222
713,0.2,0.7,0.2,64,1.0,0.3709677419354839,0.5411764705882353,62,0.20408163265306123,1.0,0.3389830508474576,10,0.6020408163265306,0.685483870967742,0.44007976071784644,72,0.8894557823129252,0.4583333333333333,0.5130940511797939,72,0.4583333333333333
714,0.2,0.7,0.2,64,0.9574468085106383,0.7258064516129032,0.8256880733944956,62,0.32,0.8,0.45714285714285713,10,0.6387234042553191,0.7629032258064516,0.6414154652686763,72,0.8689125295508275,0.7361111111111112,0.7745012378039902,72,0.7361111111111112
715,0.2,0.7,0.2,64,1.0,0.5483870967741935,0.7083333333333333,62,0.2631578947368421,1.0,0.4166666666666667,10,0.631578947368421,0.7741935483870968,0.5625,72,0.8976608187134504,0.6111111111111112,0.667824074074074,72,0.6111111111111112
716,0.2,0.7,0.2,64,0.9361702127659575,0.7096774193548387,0.8073394495412844,62,0.28,0.7,0.4,10,0.6080851063829787,0.7048387096774194,0.6036697247706422,72,0.8450354609929077,0.7083333333333334,0.7507645259938838,72,0.7083333333333334
717,0.2,0.7,0.2,64,0.896551724137931,0.41935483870967744,0.5714285714285714,62,0.16279069767441862,0.7,0.2641509433962264,10,0.5296712109061749,0.5596774193548387,0.4177897574123989,72,0.7946404704624431,0.4583333333333333,0.5287511230907457,72,0.4583333333333333
718,0.2,0.7,0.2,64,0.9310344827586207,0.8709677419354839,0.9,62,0.42857142857142855,0.6,0.5,10,0.6798029556650246,0.7354838709677419,0.7,72,0.861247947454844,0.8333333333333334,0.8444444444444446,72,0.8333333333333334
719,0.2,0.7,0.2,64,0.9215686274509803,0.7580645161290323,0.831858407079646,62,0.2857142857142857,0.6,0.3870967741935483,10,0.603641456582633,0.6790322580645161,0.6094775906365971,72,0.8332555244319949,0.7361111111111112,0.7700859580676879,72,0.7361111111111112
720,0.2,0.7,0.2,64,0.9333333333333333,0.9032258064516129,0.9180327868852459,62,0.5,0.6,0.5454545454545454,10,0.7166666666666667,0.7516129032258064,0.7317436661698957,72,0.8731481481481481,0.8611111111111112,0.8662858089087597,72,0.8611111111111112
721,0.2,0.7,0.2,64,0.9230769230769231,0.5806451612903226,0.7128712871287128,62,0.21212121212121213,0.7,0.3255813953488372,10,0.5675990675990676,0.6403225806451613,0.519226341238775,72,0.8243330743330743,0.5972222222222222,0.6590810243815078,72,0.5972222222222222
722,0.2,0.7,0.2,64,1.0,0.8225806451612904,0.9026548672566371,62,0.47619047619047616,1.0,0.6451612903225806,10,0.7380952380952381,0.9112903225806452,0.7739080787896089,72,0.9272486772486772,0.8472222222222222,0.8668918704602404,72,0.8472222222222222
723,0.2,0.7,0.2,64,0.9365079365079365,0.9516129032258065,0.944,62,0.6666666666666666,0.6,0.631578947368421,10,0.8015873015873016,0.7758064516129033,0.7877894736842105,72,0.8990299823633158,0.9027777777777778,0.900608187134503,72,0.9027777777777778
724,0.2,0.7,0.2,64,0.8888888888888888,0.9032258064516129,0.8959999999999999,62,0.3333333333333333,0.3,0.3157894736842105,10,0.611111111111111,0.6016129032258064,0.6058947368421053,72,0.8117283950617283,0.8194444444444444,0.8154152046783625,72,0.8194444444444444
725,0.2,0.7,0.2,64,0.9791666666666666,0.7580645161290323,0.8545454545454544,62,0.375,0.9,0.5294117647058825,10,0.6770833333333333,0.8290322580645162,0.6919786096256684,72,0.8952546296296295,0.7777777777777778,0.8093879976232916,72,0.7777777777777778
726,0.2,0.7,0.2,64,0.8571428571428571,0.8709677419354839,0.864,62,0.1111111111111111,0.1,0.10526315789473685,10,0.4841269841269841,0.4854838709677419,0.4846315789473684,72,0.7535273368606702,0.7638888888888888,0.7586198830409356,72,0.7638888888888888
727,0.2,0.7,0.2,64,1.0,0.7580645161290323,0.8623853211009175,62,0.4,1.0,0.5714285714285715,10,0.7,0.8790322580645161,0.7169069462647445,72,0.9166666666666666,0.7916666666666666,0.8219746614242028,72,0.7916666666666666
728,0.2,0.7,0.2,64,0.9607843137254902,0.7903225806451613,0.8672566371681416,62,0.38095238095238093,0.8,0.5161290322580645,10,0.6708683473389356,0.7951612903225806,0.691692834713103,72,0.8802521008403361,0.7916666666666666,0.8184889142639643,72,0.7916666666666666
