,eval,k,train_split,quantile,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
30,1,3,0.1,0.05,1.0,0.71875,0.8363636363636363,32,0.1,1.0,0.18181818181818182,1,0.55,0.859375,0.509090909090909,33,0.9727272727272728,0.7272727272727273,0.8165289256198347,33,0.7272727272727273
31,2,3,0.1,0.05,1.0,0.53125,0.6938775510204082,32,0.0625,1.0,0.11764705882352941,1,0.53125,0.765625,0.4057623049219688,33,0.9715909090909091,0.5454545454545454,0.676416020953836,33,0.5454545454545454
32,3,3,0.1,0.05,1.0,0.78125,0.8771929824561403,32,0.125,1.0,0.2222222222222222,1,0.5625,0.890625,0.5497076023391813,33,0.9734848484848485,0.7878787878787878,0.8573453836611731,33,0.7878787878787878
33,4,3,0.1,0.05,1.0,0.625,0.7692307692307693,32,0.07692307692307693,1.0,0.14285714285714288,1,0.5384615384615384,0.8125,0.4560439560439561,33,0.9720279720279721,0.6363636363636364,0.7502497502497503,33,0.6363636363636364
34,5,3,0.1,0.05,1.0,0.6875,0.8148148148148148,32,0.09090909090909091,1.0,0.16666666666666669,1,0.5454545454545454,0.84375,0.4907407407407407,33,0.9724517906336089,0.696969696969697,0.7951739618406285,33,0.696969696969697
35,1,3,0.1,0.1,1.0,0.06666666666666667,0.125,30,0.0967741935483871,1.0,0.17647058823529413,3,0.5483870967741935,0.5333333333333333,0.15073529411764708,33,0.9178885630498533,0.15151515151515152,0.12967914438502673,33,0.15151515151515152
36,2,3,0.1,0.1,1.0,0.06666666666666667,0.125,30,0.0967741935483871,1.0,0.17647058823529413,3,0.5483870967741935,0.5333333333333333,0.15073529411764708,33,0.9178885630498533,0.15151515151515152,0.12967914438502673,33,0.15151515151515152
37,3,3,0.1,0.1,1.0,0.1,0.18181818181818182,30,0.1,1.0,0.18181818181818182,3,0.55,0.55,0.18181818181818182,33,0.9181818181818182,0.18181818181818182,0.18181818181818182,33,0.18181818181818182
38,4,3,0.1,0.1,1.0,0.1,0.18181818181818182,30,0.1,1.0,0.18181818181818182,3,0.55,0.55,0.18181818181818182,33,0.9181818181818182,0.18181818181818182,0.18181818181818182,33,0.18181818181818182
39,5,3,0.1,0.1,1.0,0.13333333333333333,0.23529411764705882,30,0.10344827586206896,1.0,0.1875,3,0.5517241379310345,0.5666666666666667,0.2113970588235294,33,0.9184952978056427,0.21212121212121213,0.23094919786096257,33,0.21212121212121213
40,1,3,0.1,0.25,0.8333333333333334,0.8,0.816326530612245,25,0.4444444444444444,0.5,0.47058823529411764,8,0.6388888888888888,0.65,0.6434573829531813,33,0.7390572390572392,0.7272727272727273,0.7325111862926991,33,0.7272727272727273
41,2,3,0.1,0.25,0.8571428571428571,0.72,0.782608695652174,25,0.4166666666666667,0.625,0.5,8,0.6369047619047619,0.6725,0.6413043478260869,33,0.7503607503607502,0.696969696969697,0.7140974967061924,33,0.696969696969697
