,fpr,tpr,threshold,eval,k,train_split,quantile
275,0.21875,1.0,0.7616765,2,3,0.1,0.05
276,1.0,1.0,0.002944054,2,3,0.1,0.05
277,0.0,0.0,1.9987407,3,3,0.1,0.05
278,0.03125,0.0,0.99874073,3,3,0.1,0.05
279,0.1875,0.0,0.79401904,3,3,0.1,0.05
280,0.1875,1.0,0.67884827,3,3,0.1,0.05
281,1.0,1.0,0.00345332,3,3,0.1,0.05
282,0.0,0.0,1.9993142,4,3,0.1,0.05
283,0.03125,0.0,0.9993142,4,3,0.1,0.05
284,0.28125,0.0,0.66999054,4,3,0.1,0.05
285,0.28125,1.0,0.6672558,4,3,0.1,0.05
286,1.0,1.0,0.0048076943,4,3,0.1,0.05
287,0.0,0.0,1.9996545,5,3,0.1,0.05
288,0.03125,0.0,0.99965453,5,3,0.1,0.05
289,0.25,0.0,0.63130105,5,3,0.1,0.05
290,0.25,1.0,0.5980238,5,3,0.1,0.05
291,1.0,1.0,0.0027783818,5,3,0.1,0.05
292,0.0,0.0,1.998213,1,3,0.1,0.1
293,0.03333333333333333,0.0,0.99821305,1,3,0.1,0.1
294,0.23333333333333334,0.0,0.98249406,1,3,0.1,0.1
295,0.23333333333333334,0.3333333333333333,0.9820987,1,3,0.1,0.1
296,0.3,0.3333333333333333,0.9773187,1,3,0.1,0.1
297,0.3,0.6666666666666666,0.9767244,1,3,0.1,0.1
298,0.36666666666666664,0.6666666666666666,0.9724286,1,3,0.1,0.1
299,0.36666666666666664,1.0,0.961884,1,3,0.1,0.1
300,1.0,1.0,0.001367088,1,3,0.1,0.1
301,0.0,0.0,1.9991592,2,3,0.1,0.1
302,0.03333333333333333,0.0,0.9991592,2,3,0.1,0.1
303,0.2,0.0,0.98903114,2,3,0.1,0.1
304,0.2,0.3333333333333333,0.9888136,2,3,0.1,0.1
305,0.36666666666666664,0.3333333333333333,0.9757967,2,3,0.1,0.1
306,0.36666666666666664,0.6666666666666666,0.9743999,2,3,0.1,0.1
307,0.4,0.6666666666666666,0.9576994,2,3,0.1,0.1
308,0.4,1.0,0.9515487,2,3,0.1,0.1
309,1.0,1.0,0.0012437091,2,3,0.1,0.1
310,0.0,0.0,1.9984531,3,3,0.1,0.1
311,0.03333333333333333,0.0,0.99845314,3,3,0.1,0.1
312,0.3,0.0,0.979487,3,3,0.1,0.1
313,0.3,0.6666666666666666,0.9694718,3,3,0.1,0.1
314,0.4,0.6666666666666666,0.956316,3,3,0.1,0.1
315,0.4,1.0,0.9516367,3,3,0.1,0.1
316,1.0,1.0,0.0006896641,3,3,0.1,0.1
317,0.0,0.0,1.999105,4,3,0.1,0.1
318,0.03333333333333333,0.0,0.9991049,4,3,0.1,0.1
319,0.16666666666666666,0.0,0.9912077,4,3,0.1,0.1
320,0.16666666666666666,0.3333333333333333,0.99044865,4,3,0.1,0.1
321,0.3333333333333333,0.3333333333333333,0.9764006,4,3,0.1,0.1
322,0.3333333333333333,0.6666666666666666,0.96833616,4,3,0.1,0.1
323,0.4666666666666667,0.6666666666666666,0.9420663,4,3,0.1,0.1
324,0.4666666666666667,1.0,0.9391852,4,3,0.1,0.1
325,1.0,1.0,0.0010819642,4,3,0.1,0.1
326,0.0,0.0,1.9983538,5,3,0.1,0.1
327,0.03333333333333333,0.0,0.99835384,5,3,0.1,0.1
328,0.13333333333333333,0.0,0.9808436,5,3,0.1,0.1
329,0.13333333333333333,0.3333333333333333,0.9801467,5,3,0.1,0.1
330,0.2,0.3333333333333333,0.96882087,5,3,0.1,0.1
331,0.2,0.6666666666666666,0.963851,5,3,0.1,0.1
332,0.36666666666666664,0.6666666666666666,0.93431544,5,3,0.1,0.1
333,0.36666666666666664,1.0,0.9311556,5,3,0.1,0.1
334,1.0,1.0,0.0011156263,5,3,0.1,0.1
335,0.0,0.0,1.9987335,1,3,0.1,0.25
336,0.04,0.0,0.9987336,1,3,0.1,0.25
337,0.08,0.0,0.9965082,1,3,0.1,0.25
