,k,train_split,channels,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
1421,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1422,2,0.5,32,0.5,0.3333333333333333,0.4,3,0.7777777777777778,0.875,0.823529411764706,8,0.6388888888888888,0.6041666666666666,0.611764705882353,11,0.702020202020202,0.7272727272727273,0.7080213903743316,11,0.7272727272727273
1423,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1424,2,0.5,32,0.4,0.6666666666666666,0.5,3,0.8333333333333334,0.625,0.7142857142857143,8,0.6166666666666667,0.6458333333333333,0.6071428571428572,11,0.7151515151515152,0.6363636363636364,0.6558441558441559,11,0.6363636363636364
1425,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1426,2,0.5,32,1.0,0.3333333333333333,0.5,3,0.8,1.0,0.888888888888889,8,0.9,0.6666666666666666,0.6944444444444444,11,0.8545454545454546,0.8181818181818182,0.7828282828282828,11,0.8181818181818182
1427,2,0.5,32,0.375,1.0,0.5454545454545454,3,1.0,0.375,0.5454545454545454,8,0.6875,0.6875,0.5454545454545454,11,0.8295454545454546,0.5454545454545454,0.5454545454545454,11,0.5454545454545454
1428,2,0.5,32,0.375,1.0,0.5454545454545454,3,1.0,0.375,0.5454545454545454,8,0.6875,0.6875,0.5454545454545454,11,0.8295454545454546,0.5454545454545454,0.5454545454545454,11,0.5454545454545454
1429,2,0.5,32,1.0,0.3333333333333333,0.5,3,0.8,1.0,0.888888888888889,8,0.9,0.6666666666666666,0.6944444444444444,11,0.8545454545454546,0.8181818181818182,0.7828282828282828,11,0.8181818181818182
1430,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
