,tol_inf,tol_sup,embedding_d,train_split,dropout,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
2888,0.2,0.7,64,0.3,0.3,0.9767441860465116,0.6885245901639344,0.8076923076923077,61,0.2962962962962963,0.8888888888888888,0.4444444444444444,9,0.6365202411714039,0.7887067395264116,0.6260683760683761,70,0.8892580287929124,0.7142857142857143,0.7609890109890111,70,0.7142857142857143
2889,0.2,0.7,64,0.3,0.3,0.9565217391304348,0.7213114754098361,0.822429906542056,61,0.2916666666666667,0.7777777777777778,0.42424242424242425,9,0.6240942028985508,0.7495446265938069,0.6233361653922401,70,0.8710403726708075,0.7285714285714285,0.771234373103532,70,0.7285714285714285
2890,0.2,0.7,64,0.3,0.3,0.9433962264150944,0.819672131147541,0.8771929824561403,61,0.35294117647058826,0.6666666666666666,0.46153846153846156,9,0.6481687014428413,0.7431693989071038,0.6693657219973009,70,0.867480577136515,0.8,0.8237516869095817,70,0.8
2891,0.2,0.7,64,0.3,0.3,0.9787234042553191,0.7540983606557377,0.8518518518518519,61,0.34782608695652173,0.8888888888888888,0.5,9,0.6632747456059205,0.8214936247723132,0.6759259259259259,70,0.8976080348883309,0.7714285714285715,0.8066137566137566,70,0.7714285714285715
2892,0.2,0.7,64,0.3,0.3,0.9206349206349206,0.9508196721311475,0.9354838709677418,61,0.5714285714285714,0.4444444444444444,0.5,9,0.746031746031746,0.697632058287796,0.7177419354838709,70,0.8757369614512472,0.8857142857142857,0.8794930875576036,70,0.8857142857142857
2893,0.2,0.7,64,0.3,0.3,1.0,0.6721311475409836,0.8039215686274509,61,0.3103448275862069,1.0,0.4736842105263158,9,0.6551724137931034,0.8360655737704918,0.6388028895768834,70,0.9113300492610837,0.7142857142857143,0.7614624797287335,70,0.7142857142857143
2894,0.2,0.7,64,0.3,0.3,0.9791666666666666,0.7704918032786885,0.8623853211009173,61,0.36363636363636365,0.8888888888888888,0.5161290322580644,9,0.6714015151515151,0.8296903460837887,0.6892571766794908,70,0.9000270562770563,0.7857142857142857,0.8178666553925504,70,0.7857142857142857
2895,0.2,0.7,64,0.3,0.3,0.9574468085106383,0.7377049180327869,0.8333333333333334,61,0.30434782608695654,0.7777777777777778,0.43750000000000006,9,0.6308973172987975,0.7577413479052824,0.6354166666666667,70,0.8734769393418792,0.7428571428571429,0.7824404761904762,70,0.7428571428571429
2896,0.2,0.7,64,0.3,0.3,0.9285714285714286,0.8524590163934426,0.888888888888889,61,0.35714285714285715,0.5555555555555556,0.43478260869565216,9,0.6428571428571429,0.704007285974499,0.6618357487922706,70,0.8551020408163266,0.8142857142857143,0.830503795721187,70,0.8142857142857143
2897,0.2,0.7,64,0.3,0.3,0.9666666666666667,0.47540983606557374,0.6373626373626373,61,0.2,0.8888888888888888,0.326530612244898,9,0.5833333333333334,0.6821493624772312,0.48194662480376765,70,0.868095238095238,0.5285714285714286,0.5973985198474994,70,0.5285714285714286
