,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
39,0.7034964,-0.1562194,0.3462057,0.023755044,-0.25436345,-0.03918137,0.220796,0.09468621,-0.4941958,0.7228849,0.3026549,0.64717805,-1.0462072,0.05252856,0.52970743,-0.42434153,0
40,0.44326168,-0.158232,-0.8605522,0.20080605,0.3824268,-0.060469065,0.40933642,-0.43905625,-0.42272234,0.48802626,0.109535545,0.2437383,-0.93584985,0.4183913,0.37488958,-0.38054496,0
41,-0.06615628,-0.06240254,0.35093412,-0.032443095,0.9265715,0.21053393,-0.4346679,0.0104109645,0.19080159,0.18376607,0.1688124,-0.77634114,-0.044711497,-0.008525461,-0.17413802,0.19428074,0
42,-0.108493224,-0.3670876,-0.6626077,-0.06458848,1.2397175,0.25455448,-0.07965505,-0.1719159,-0.3817325,0.08092446,0.2665047,-0.12316294,-0.10891464,-0.19859348,-0.05537457,-0.06847644,0
43,0.041467875,0.011171132,0.536469,0.67332983,1.4025551,-0.3852074,-0.7256753,0.31156808,0.0036147982,-1.6609459,-0.27734604,0.34065014,0.31078282,-0.7266727,0.16962615,-0.31388098,0
44,0.21112727,-0.025728613,-0.14770657,-0.26790208,-0.7119239,-0.5760205,-0.19739747,0.3747152,-1.0729237,-0.14491841,0.4085146,-0.77473974,0.365708,0.3530927,-0.06901782,0.4727944,0
45,-0.007910227,-0.2681088,-0.35583922,-0.01496878,1.0334874,-0.1349984,0.44302732,-0.35920227,0.15504444,0.050553188,0.5099766,-0.7286359,-0.10750486,0.45579433,-0.10678747,-0.21504012,0
46,-0.143146,-0.15394631,-1.2941496,0.79236203,0.6127293,-0.08755553,0.7494358,0.41537043,-0.14292806,0.25777116,0.30003172,-0.43479785,0.04461261,-0.51172274,0.17990394,-0.1252983,0
47,0.44326168,-0.158232,-0.8605522,0.20080605,0.3824268,-0.060469065,0.40933642,-0.43905625,-0.42272234,0.48802626,0.109535545,0.2437383,-0.93584985,0.4183913,0.37488958,-0.38054496,0
48,-0.108493224,-0.3670876,-0.6626077,-0.06458848,1.2397175,0.25455448,-0.07965505,-0.1719159,-0.3817325,0.08092446,0.2665047,-0.12316294,-0.10891464,-0.19859348,-0.05537457,-0.06847644,0
49,-0.04041365,-0.15190691,-0.72280765,-0.23719376,0.711023,-0.17894009,0.48107654,-0.3479139,-0.09215773,0.2267136,0.37761167,0.3461731,0.23156452,0.23126116,0.34317473,-0.1415213,0
50,0.21982107,-0.1498943,0.48395026,-0.41424477,0.07423274,-0.1576524,0.2925361,0.18582857,-0.16363117,0.46157223,0.570731,0.7496129,0.12120721,-0.13460156,0.49799258,-0.18531784,0
51,-0.04041365,-0.15190691,-0.72280765,-0.23719376,0.711023,-0.17894009,0.48107654,-0.3479139,-0.09215773,0.2267136,0.37761167,0.3461731,0.23156452,0.23126116,0.34317473,-0.1415213,0
52,0.041467875,0.011171132,0.536469,0.67332983,1.4025551,-0.3852074,-0.7256753,0.31156808,0.0036147982,-1.6609459,-0.27734604,0.34065014,0.31078282,-0.7266727,0.16962615,-0.31388098,0
53,0.24780366,0.23976587,0.35960007,0.45273772,0.8722082,-1.1920955,-0.3978606,0.84930176,-0.24344687,-1.8726002,-0.23327039,0.07694888,0.34202042,0.0034920275,0.17929806,-0.5295061,0
54,0.3580773,-0.13648024,0.36728126,-0.46223164,0.07258032,-0.531046,0.059619233,0.8995602,-0.7002676,0.104128726,0.5036997,0.016575575,-0.18803436,0.16570854,0.10911518,-0.3278981,1
